name,url,country,page_title,Geography,Population,region,revision_id,quality_score
Qutbuddin Hilal,https://en.wikipedia.org/wiki/Qutbuddin_Hilal,Afghanistan,Qutbuddin_Hilal,Afghanistan,42.4,SOUTH ASIA,1246566795.0,Start
Mahboba Hoqomal,https://en.wikipedia.org/wiki/Mahboba_Hoqomal,Afghanistan,Mahboba_Hoqomal,Afghanistan,42.4,SOUTH ASIA,1243745950.0,Stub
Musa Hotak,https://en.wikipedia.org/wiki/Musa_Hotak,Afghanistan,Musa_Hotak,Afghanistan,42.4,SOUTH ASIA,1246566804.0,Start
Mirza Muhammad Ismail,https://en.wikipedia.org/wiki/Mirza_Muhammad_Ismail,Afghanistan,Mirza_Muhammad_Ismail,Afghanistan,42.4,SOUTH ASIA,1235165845.0,C
Sayed Jalal,https://en.wikipedia.org/wiki/Sayed_Jalal,Afghanistan,Sayed_Jalal,Afghanistan,42.4,SOUTH ASIA,1137130537.0,Start
Said Tayeb Jawad,https://en.wikipedia.org/wiki/Said_Tayeb_Jawad,Afghanistan,Said_Tayeb_Jawad,Afghanistan,42.4,SOUTH ASIA,1248976824.0,C
Sayed Jalal Karim,https://en.wikipedia.org/wiki/Sayed_Jalal_Karim,Afghanistan,Sayed_Jalal_Karim,Afghanistan,42.4,SOUTH ASIA,1136614743.0,Start
Hafizullah Shabaz Khail,https://en.wikipedia.org/wiki/Hafizullah_Shabaz_Khail,Afghanistan,Hafizullah_Shabaz_Khail,Afghanistan,42.4,SOUTH ASIA,1238402857.0,Start
Masoud Khalili,https://en.wikipedia.org/wiki/Masoud_Khalili,Afghanistan,Masoud_Khalili,Afghanistan,42.4,SOUTH ASIA,1246566971.0,GA
Mohammad Khan (athlete),https://en.wikipedia.org/wiki/Mohammad_Khan_(athlete),Afghanistan,Mohammad_Khan_(athlete),Afghanistan,42.4,SOUTH ASIA,1247727443.0,Stub
Samoud Khan,https://en.wikipedia.org/wiki/Samoud_Khan,Afghanistan,Samoud_Khan,Afghanistan,42.4,SOUTH ASIA,1195409073.0,Start
Baran Khan Kudezai,https://en.wikipedia.org/wiki/Baran_Khan_Kudezai,Afghanistan,Baran_Khan_Kudezai,Afghanistan,42.4,SOUTH ASIA,1176481824.0,Start
Azizullah Lodin,https://en.wikipedia.org/wiki/Azizullah_Lodin,Afghanistan,Azizullah_Lodin,Afghanistan,42.4,SOUTH ASIA,1247762293.0,Start
Razaq Mamoon,https://en.wikipedia.org/wiki/Razaq_Mamoon,Afghanistan,Razaq_Mamoon,Afghanistan,42.4,SOUTH ASIA,1227180106.0,Start
Fazel Ahmed Manawi,https://en.wikipedia.org/wiki/Fazel_Ahmed_Manawi,Afghanistan,Fazel_Ahmed_Manawi,Afghanistan,42.4,SOUTH ASIA,1234514379.0,Start
Moeen Marastial,https://en.wikipedia.org/wiki/Moeen_Marastial,Afghanistan,Moeen_Marastial,Afghanistan,42.4,SOUTH ASIA,1246567093.0,Start
Ahmad Wali Massoud,https://en.wikipedia.org/wiki/Ahmad_Wali_Massoud,Afghanistan,Ahmad_Wali_Massoud,Afghanistan,42.4,SOUTH ASIA,1221720658.0,Start
Mohammad Daud Miraki,https://en.wikipedia.org/wiki/Mohammad_Daud_Miraki,Afghanistan,Mohammad_Daud_Miraki,Afghanistan,42.4,SOUTH ASIA,1227103354.0,C
Abdul Sattar Mirzakwal,https://en.wikipedia.org/wiki/Abdul_Sattar_Mirzakwal,Afghanistan,Abdul_Sattar_Mirzakwal,Afghanistan,42.4,SOUTH ASIA,1145249317.0,Stub
Abdul Karim Misaq,https://en.wikipedia.org/wiki/Abdul_Karim_Misaq,Afghanistan,Abdul_Karim_Misaq,Afghanistan,42.4,SOUTH ASIA,1235405154.0,Stub
Ali Mohammad (politician),https://en.wikipedia.org/wiki/Ali_Mohammad_(politician),Afghanistan,Ali_Mohammad_(politician),Afghanistan,42.4,SOUTH ASIA,1136630194.0,Stub
Nasruddin Mohseni,https://en.wikipedia.org/wiki/Nasruddin_Mohseni,Afghanistan,Nasruddin_Mohseni,Afghanistan,42.4,SOUTH ASIA,1136630129.0,Start
Davood Moradian,https://en.wikipedia.org/wiki/Davood_Moradian,Afghanistan,Davood_Moradian,Afghanistan,42.4,SOUTH ASIA,1239319380.0,Stub
Zalmai Mujadidi,https://en.wikipedia.org/wiki/Zalmai_Mujadidi,Afghanistan,Zalmai_Mujadidi,Afghanistan,42.4,SOUTH ASIA,1223903677.0,Start
Sardar Mohammad Nadir Naeem,https://en.wikipedia.org/wiki/Sardar_Mohammad_Nadir_Naeem,Afghanistan,Sardar_Mohammad_Nadir_Naeem,Afghanistan,42.4,SOUTH ASIA,1204109653.0,Stub
Daoud Naji,https://en.wikipedia.org/wiki/Daoud_Naji,Afghanistan,Daoud_Naji,Afghanistan,42.4,SOUTH ASIA,1247131367.0,Start
Gholam Rabani Nasher,https://en.wikipedia.org/wiki/Gholam_Rabani_Nasher,Afghanistan,Gholam_Rabani_Nasher,Afghanistan,42.4,SOUTH ASIA,1136534788.0,Stub
Ghulam Faroq Nijrabi,https://en.wikipedia.org/wiki/Ghulam_Faroq_Nijrabi,Afghanistan,Ghulam_Faroq_Nijrabi,Afghanistan,42.4,SOUTH ASIA,1136614778.0,Stub
Zabih-U-llah Ghazi Noristani,https://en.wikipedia.org/wiki/Zabih-U-llah_Ghazi_Noristani,Afghanistan,Zabih-U-llah_Ghazi_Noristani,Afghanistan,42.4,SOUTH ASIA,1136614682.0,Start
